result, oneway, oneway:bicycle, junction, cycleway, cycleway:left
both, , , , , 
with, yes, , , , 
both, no, , , , 
with, 1, , , , 
against, -1, , , , 
with, , yes, , , 
with, yes, yes, , , 
with, no, yes, , , 
with, 1, yes, , , 
with, -1, yes, , , 
both, , no, , , 
both, yes, no, , , 
both, no, no, , , 
both, 1, no, , , 
both, -1, no, , , 
with, , 1, , , 
with, yes, 1, , , 
with, no, 1, , , 
with, 1, 1, , , 
with, -1, 1, , , 
against, , -1, , , 
against, yes, -1, , , 
against, no, -1, , , 
against, 1, -1, , , 
against, -1, -1, , , 
with, , , roundabout, , 
with, yes, , roundabout, , 
with, no, , roundabout, , 
with, 1, , roundabout, , 
with, -1, , roundabout, , 
with, , yes, roundabout, , 
with, yes, yes, roundabout, , 
with, no, yes, roundabout, , 
with, 1, yes, roundabout, , 
with, -1, yes, roundabout, , 
both, , no, roundabout, , 
both, yes, no, roundabout, , 
both, no, no, roundabout, , 
both, 1, no, roundabout, , 
both, -1, no, roundabout, , 
with, , 1, roundabout, , 
with, yes, 1, roundabout, , 
with, no, 1, roundabout, , 
with, 1, 1, roundabout, , 
with, -1, 1, roundabout, , 
against, , -1, roundabout, , 
against, yes, -1, roundabout, , 
against, no, -1, roundabout, , 
against, 1, -1, roundabout, , 
against, -1, -1, roundabout, , 
against, , , , right, 
against, yes, , , right, 
against, no, , , right, 
against, 1, , , right, 
against, -1, , , right, 
with, , yes, , right, 
with, yes, yes, , right, 
with, no, yes, , right, 
with, 1, yes, , right, 
with, -1, yes, , right, 
both, , no, , right, 
both, yes, no, , right, 
both, no, no, , right, 
both, 1, no, , right, 
both, -1, no, , right, 
with, , 1, , right, 
with, yes, 1, , right, 
with, no, 1, , right, 
with, 1, 1, , right, 
with, -1, 1, , right, 
against, , -1, , right, 
against, yes, -1, , right, 
against, no, -1, , right, 
against, 1, -1, , right, 
against, -1, -1, , right, 
with, , , roundabout, right, 
with, yes, , roundabout, right, 
with, no, , roundabout, right, 
with, 1, , roundabout, right, 
with, -1, , roundabout, right, 
with, , yes, roundabout, right, 
with, yes, yes, roundabout, right, 
with, no, yes, roundabout, right, 
with, 1, yes, roundabout, right, 
with, -1, yes, roundabout, right, 
both, , no, roundabout, right, 
both, yes, no, roundabout, right, 
both, no, no, roundabout, right, 
both, 1, no, roundabout, right, 
both, -1, no, roundabout, right, 
with, , 1, roundabout, right, 
with, yes, 1, roundabout, right, 
with, no, 1, roundabout, right, 
with, 1, 1, roundabout, right, 
with, -1, 1, roundabout, right, 
against, , -1, roundabout, right, 
against, yes, -1, roundabout, right, 
against, no, -1, roundabout, right, 
against, 1, -1, roundabout, right, 
against, -1, -1, roundabout, right, 
both, , , , opposite_lane, 
both, yes, , , opposite_lane, 
both, no, , , opposite_lane, 
both, 1, , , opposite_lane, 
both, -1, , , opposite_lane, 
with, , yes, , opposite_lane, 
with, yes, yes, , opposite_lane, 
with, no, yes, , opposite_lane, 
with, 1, yes, , opposite_lane, 
with, -1, yes, , opposite_lane, 
both, , no, , opposite_lane, 
both, yes, no, , opposite_lane, 
both, no, no, , opposite_lane, 
both, 1, no, , opposite_lane, 
both, -1, no, , opposite_lane, 
with, , 1, , opposite_lane, 
with, yes, 1, , opposite_lane, 
with, no, 1, , opposite_lane, 
with, 1, 1, , opposite_lane, 
with, -1, 1, , opposite_lane, 
against, , -1, , opposite_lane, 
against, yes, -1, , opposite_lane, 
against, no, -1, , opposite_lane, 
against, 1, -1, , opposite_lane, 
against, -1, -1, , opposite_lane, 
with, , , roundabout, opposite_lane, 
with, yes, , roundabout, opposite_lane, 
with, no, , roundabout, opposite_lane, 
with, 1, , roundabout, opposite_lane, 
with, -1, , roundabout, opposite_lane, 
with, , yes, roundabout, opposite_lane, 
with, yes, yes, roundabout, opposite_lane, 
with, no, yes, roundabout, opposite_lane, 
with, 1, yes, roundabout, opposite_lane, 
with, -1, yes, roundabout, opposite_lane, 
both, , no, roundabout, opposite_lane, 
both, yes, no, roundabout, opposite_lane, 
both, no, no, roundabout, opposite_lane, 
both, 1, no, roundabout, opposite_lane, 
both, -1, no, roundabout, opposite_lane, 
with, , 1, roundabout, opposite_lane, 
with, yes, 1, roundabout, opposite_lane, 
with, no, 1, roundabout, opposite_lane, 
with, 1, 1, roundabout, opposite_lane, 
with, -1, 1, roundabout, opposite_lane, 
against, , -1, roundabout, opposite_lane, 
against, yes, -1, roundabout, opposite_lane, 
against, no, -1, roundabout, opposite_lane, 
against, 1, -1, roundabout, opposite_lane, 
against, -1, -1, roundabout, opposite_lane, 
both, , , , opposite, 
both, yes, , , opposite, 
both, no, , , opposite, 
both, 1, , , opposite, 
both, -1, , , opposite, 
with, , yes, , opposite, 
with, yes, yes, , opposite, 
with, no, yes, , opposite, 
with, 1, yes, , opposite, 
with, -1, yes, , opposite, 
both, , no, , opposite, 
both, yes, no, , opposite, 
both, no, no, , opposite, 
both, 1, no, , opposite, 
both, -1, no, , opposite, 
with, , 1, , opposite, 
with, yes, 1, , opposite, 
with, no, 1, , opposite, 
with, 1, 1, , opposite, 
with, -1, 1, , opposite, 
against, , -1, , opposite, 
against, yes, -1, , opposite, 
against, no, -1, , opposite, 
against, 1, -1, , opposite, 
against, -1, -1, , opposite, 
with, , , roundabout, opposite, 
with, yes, , roundabout, opposite, 
with, no, , roundabout, opposite, 
with, 1, , roundabout, opposite, 
with, -1, , roundabout, opposite, 
with, , yes, roundabout, opposite, 
with, yes, yes, roundabout, opposite, 
with, no, yes, roundabout, opposite, 
with, 1, yes, roundabout, opposite, 
with, -1, yes, roundabout, opposite, 
both, , no, roundabout, opposite, 
both, yes, no, roundabout, opposite, 
both, no, no, roundabout, opposite, 
both, 1, no, roundabout, opposite, 
both, -1, no, roundabout, opposite, 
with, , 1, roundabout, opposite, 
with, yes, 1, roundabout, opposite, 
with, no, 1, roundabout, opposite, 
with, 1, 1, roundabout, opposite, 
with, -1, 1, roundabout, opposite, 
against, , -1, roundabout, opposite, 
against, yes, -1, roundabout, opposite, 
against, no, -1, roundabout, opposite, 
against, 1, -1, roundabout, opposite, 
against, -1, -1, roundabout, opposite, 
both, , , , opposite_share_busway, 
both, yes, , , opposite_share_busway, 
both, no, , , opposite_share_busway, 
both, 1, , , opposite_share_busway, 
both, -1, , , opposite_share_busway, 
with, , yes, , opposite_share_busway, 
with, yes, yes, , opposite_share_busway, 
with, no, yes, , opposite_share_busway, 
with, 1, yes, , opposite_share_busway, 
with, -1, yes, , opposite_share_busway, 
both, , no, , opposite_share_busway, 
both, yes, no, , opposite_share_busway, 
both, no, no, , opposite_share_busway, 
both, 1, no, , opposite_share_busway, 
both, -1, no, , opposite_share_busway, 
with, , 1, , opposite_share_busway, 
with, yes, 1, , opposite_share_busway, 
with, no, 1, , opposite_share_busway, 
with, 1, 1, , opposite_share_busway, 
with, -1, 1, , opposite_share_busway, 
against, , -1, , opposite_share_busway, 
against, yes, -1, , opposite_share_busway, 
against, no, -1, , opposite_share_busway, 
against, 1, -1, , opposite_share_busway, 
against, -1, -1, , opposite_share_busway, 
with, , , roundabout, opposite_share_busway, 
with, yes, , roundabout, opposite_share_busway, 
with, no, , roundabout, opposite_share_busway, 
with, 1, , roundabout, opposite_share_busway, 
with, -1, , roundabout, opposite_share_busway, 
with, , yes, roundabout, opposite_share_busway, 
with, yes, yes, roundabout, opposite_share_busway, 
with, no, yes, roundabout, opposite_share_busway, 
with, 1, yes, roundabout, opposite_share_busway, 
with, -1, yes, roundabout, opposite_share_busway, 
both, , no, roundabout, opposite_share_busway, 
both, yes, no, roundabout, opposite_share_busway, 
both, no, no, roundabout, opposite_share_busway, 
both, 1, no, roundabout, opposite_share_busway, 
both, -1, no, roundabout, opposite_share_busway, 
with, , 1, roundabout, opposite_share_busway, 
with, yes, 1, roundabout, opposite_share_busway, 
with, no, 1, roundabout, opposite_share_busway, 
with, 1, 1, roundabout, opposite_share_busway, 
with, -1, 1, roundabout, opposite_share_busway, 
against, , -1, roundabout, opposite_share_busway, 
against, yes, -1, roundabout, opposite_share_busway, 
against, no, -1, roundabout, opposite_share_busway, 
against, 1, -1, roundabout, opposite_share_busway, 
against, -1, -1, roundabout, opposite_share_busway, 
both, , , , opposite_track, 
both, yes, , , opposite_track, 
both, no, , , opposite_track, 
both, 1, , , opposite_track, 
both, -1, , , opposite_track, 
with, , yes, , opposite_track, 
with, yes, yes, , opposite_track, 
with, no, yes, , opposite_track, 
with, 1, yes, , opposite_track, 
with, -1, yes, , opposite_track, 
both, , no, , opposite_track, 
both, yes, no, , opposite_track, 
both, no, no, , opposite_track, 
both, 1, no, , opposite_track, 
both, -1, no, , opposite_track, 
with, , 1, , opposite_track, 
with, yes, 1, , opposite_track, 
with, no, 1, , opposite_track, 
with, 1, 1, , opposite_track, 
with, -1, 1, , opposite_track, 
against, , -1, , opposite_track, 
against, yes, -1, , opposite_track, 
against, no, -1, , opposite_track, 
against, 1, -1, , opposite_track, 
against, -1, -1, , opposite_track, 
with, , , roundabout, opposite_track, 
with, yes, , roundabout, opposite_track, 
with, no, , roundabout, opposite_track, 
with, 1, , roundabout, opposite_track, 
with, -1, , roundabout, opposite_track, 
with, , yes, roundabout, opposite_track, 
with, yes, yes, roundabout, opposite_track, 
with, no, yes, roundabout, opposite_track, 
with, 1, yes, roundabout, opposite_track, 
with, -1, yes, roundabout, opposite_track, 
both, , no, roundabout, opposite_track, 
both, yes, no, roundabout, opposite_track, 
both, no, no, roundabout, opposite_track, 
both, 1, no, roundabout, opposite_track, 
both, -1, no, roundabout, opposite_track, 
with, , 1, roundabout, opposite_track, 
with, yes, 1, roundabout, opposite_track, 
with, no, 1, roundabout, opposite_track, 
with, 1, 1, roundabout, opposite_track, 
with, -1, 1, roundabout, opposite_track, 
against, , -1, roundabout, opposite_track, 
against, yes, -1, roundabout, opposite_track, 
against, no, -1, roundabout, opposite_track, 
against, 1, -1, roundabout, opposite_track, 
against, -1, -1, roundabout, opposite_track, 
with, , , , , no
with, yes, , , , no
with, no, , , , no
with, 1, , , , no
with, -1, , , , no
with, , yes, , , no
with, yes, yes, , , no
with, no, yes, , , no
with, 1, yes, , , no
with, -1, yes, , , no
both, , no, , , no
both, yes, no, , , no
both, no, no, , , no
both, 1, no, , , no
both, -1, no, , , no
with, , 1, , , no
with, yes, 1, , , no
with, no, 1, , , no
with, 1, 1, , , no
with, -1, 1, , , no
against, , -1, , , no
against, yes, -1, , , no
against, no, -1, , , no
against, 1, -1, , , no
against, -1, -1, , , no
with, , , roundabout, , no
with, yes, , roundabout, , no
with, no, , roundabout, , no
with, 1, , roundabout, , no
with, -1, , roundabout, , no
with, , yes, roundabout, , no
with, yes, yes, roundabout, , no
with, no, yes, roundabout, , no
with, 1, yes, roundabout, , no
with, -1, yes, roundabout, , no
both, , no, roundabout, , no
both, yes, no, roundabout, , no
both, no, no, roundabout, , no
both, 1, no, roundabout, , no
both, -1, no, roundabout, , no
with, , 1, roundabout, , no
with, yes, 1, roundabout, , no
with, no, 1, roundabout, , no
with, 1, 1, roundabout, , no
with, -1, 1, roundabout, , no
against, , -1, roundabout, , no
against, yes, -1, roundabout, , no
against, no, -1, roundabout, , no
against, 1, -1, roundabout, , no
against, -1, -1, roundabout, , no
against, , , , right, no
against, yes, , , right, no
against, no, , , right, no
against, 1, , , right, no
against, -1, , , right, no
with, , yes, , right, no
with, yes, yes, , right, no
with, no, yes, , right, no
with, 1, yes, , right, no
with, -1, yes, , right, no
both, , no, , right, no
both, yes, no, , right, no
both, no, no, , right, no
both, 1, no, , right, no
both, -1, no, , right, no
with, , 1, , right, no
with, yes, 1, , right, no
with, no, 1, , right, no
with, 1, 1, , right, no
with, -1, 1, , right, no
against, , -1, , right, no
against, yes, -1, , right, no
against, no, -1, , right, no
against, 1, -1, , right, no
against, -1, -1, , right, no
with, , , roundabout, right, no
with, yes, , roundabout, right, no
with, no, , roundabout, right, no
with, 1, , roundabout, right, no
with, -1, , roundabout, right, no
with, , yes, roundabout, right, no
with, yes, yes, roundabout, right, no
with, no, yes, roundabout, right, no
with, 1, yes, roundabout, right, no
with, -1, yes, roundabout, right, no
both, , no, roundabout, right, no
both, yes, no, roundabout, right, no
both, no, no, roundabout, right, no
both, 1, no, roundabout, right, no
both, -1, no, roundabout, right, no
with, , 1, roundabout, right, no
with, yes, 1, roundabout, right, no
with, no, 1, roundabout, right, no
with, 1, 1, roundabout, right, no
with, -1, 1, roundabout, right, no
against, , -1, roundabout, right, no
against, yes, -1, roundabout, right, no
against, no, -1, roundabout, right, no
against, 1, -1, roundabout, right, no
against, -1, -1, roundabout, right, no
both, , , , opposite_lane, no
both, yes, , , opposite_lane, no
both, no, , , opposite_lane, no
both, 1, , , opposite_lane, no
both, -1, , , opposite_lane, no
with, , yes, , opposite_lane, no
with, yes, yes, , opposite_lane, no
with, no, yes, , opposite_lane, no
with, 1, yes, , opposite_lane, no
with, -1, yes, , opposite_lane, no
both, , no, , opposite_lane, no
both, yes, no, , opposite_lane, no
both, no, no, , opposite_lane, no
both, 1, no, , opposite_lane, no
both, -1, no, , opposite_lane, no
with, , 1, , opposite_lane, no
with, yes, 1, , opposite_lane, no
with, no, 1, , opposite_lane, no
with, 1, 1, , opposite_lane, no
with, -1, 1, , opposite_lane, no
against, , -1, , opposite_lane, no
against, yes, -1, , opposite_lane, no
against, no, -1, , opposite_lane, no
against, 1, -1, , opposite_lane, no
against, -1, -1, , opposite_lane, no
with, , , roundabout, opposite_lane, no
with, yes, , roundabout, opposite_lane, no
with, no, , roundabout, opposite_lane, no
with, 1, , roundabout, opposite_lane, no
with, -1, , roundabout, opposite_lane, no
with, , yes, roundabout, opposite_lane, no
with, yes, yes, roundabout, opposite_lane, no
with, no, yes, roundabout, opposite_lane, no
with, 1, yes, roundabout, opposite_lane, no
with, -1, yes, roundabout, opposite_lane, no
both, , no, roundabout, opposite_lane, no
both, yes, no, roundabout, opposite_lane, no
both, no, no, roundabout, opposite_lane, no
both, 1, no, roundabout, opposite_lane, no
both, -1, no, roundabout, opposite_lane, no
with, , 1, roundabout, opposite_lane, no
with, yes, 1, roundabout, opposite_lane, no
with, no, 1, roundabout, opposite_lane, no
with, 1, 1, roundabout, opposite_lane, no
with, -1, 1, roundabout, opposite_lane, no
against, , -1, roundabout, opposite_lane, no
against, yes, -1, roundabout, opposite_lane, no
against, no, -1, roundabout, opposite_lane, no
against, 1, -1, roundabout, opposite_lane, no
against, -1, -1, roundabout, opposite_lane, no
both, , , , opposite, no
both, yes, , , opposite, no
both, no, , , opposite, no
both, 1, , , opposite, no
both, -1, , , opposite, no
with, , yes, , opposite, no
with, yes, yes, , opposite, no
with, no, yes, , opposite, no
with, 1, yes, , opposite, no
with, -1, yes, , opposite, no
both, , no, , opposite, no
both, yes, no, , opposite, no
both, no, no, , opposite, no
both, 1, no, , opposite, no
both, -1, no, , opposite, no
with, , 1, , opposite, no
with, yes, 1, , opposite, no
with, no, 1, , opposite, no
with, 1, 1, , opposite, no
with, -1, 1, , opposite, no
against, , -1, , opposite, no
against, yes, -1, , opposite, no
against, no, -1, , opposite, no
against, 1, -1, , opposite, no
against, -1, -1, , opposite, no
with, , , roundabout, opposite, no
with, yes, , roundabout, opposite, no
with, no, , roundabout, opposite, no
with, 1, , roundabout, opposite, no
with, -1, , roundabout, opposite, no
with, , yes, roundabout, opposite, no
with, yes, yes, roundabout, opposite, no
with, no, yes, roundabout, opposite, no
with, 1, yes, roundabout, opposite, no
with, -1, yes, roundabout, opposite, no
both, , no, roundabout, opposite, no
both, yes, no, roundabout, opposite, no
both, no, no, roundabout, opposite, no
both, 1, no, roundabout, opposite, no
both, -1, no, roundabout, opposite, no
with, , 1, roundabout, opposite, no
with, yes, 1, roundabout, opposite, no
with, no, 1, roundabout, opposite, no
with, 1, 1, roundabout, opposite, no
with, -1, 1, roundabout, opposite, no
against, , -1, roundabout, opposite, no
against, yes, -1, roundabout, opposite, no
against, no, -1, roundabout, opposite, no
against, 1, -1, roundabout, opposite, no
against, -1, -1, roundabout, opposite, no
both, , , , opposite_share_busway, no
both, yes, , , opposite_share_busway, no
both, no, , , opposite_share_busway, no
both, 1, , , opposite_share_busway, no
both, -1, , , opposite_share_busway, no
with, , yes, , opposite_share_busway, no
with, yes, yes, , opposite_share_busway, no
with, no, yes, , opposite_share_busway, no
with, 1, yes, , opposite_share_busway, no
with, -1, yes, , opposite_share_busway, no
both, , no, , opposite_share_busway, no
both, yes, no, , opposite_share_busway, no
both, no, no, , opposite_share_busway, no
both, 1, no, , opposite_share_busway, no
both, -1, no, , opposite_share_busway, no
with, , 1, , opposite_share_busway, no
with, yes, 1, , opposite_share_busway, no
with, no, 1, , opposite_share_busway, no
with, 1, 1, , opposite_share_busway, no
with, -1, 1, , opposite_share_busway, no
against, , -1, , opposite_share_busway, no
against, yes, -1, , opposite_share_busway, no
against, no, -1, , opposite_share_busway, no
against, 1, -1, , opposite_share_busway, no
against, -1, -1, , opposite_share_busway, no
with, , , roundabout, opposite_share_busway, no
with, yes, , roundabout, opposite_share_busway, no
with, no, , roundabout, opposite_share_busway, no
with, 1, , roundabout, opposite_share_busway, no
with, -1, , roundabout, opposite_share_busway, no
with, , yes, roundabout, opposite_share_busway, no
with, yes, yes, roundabout, opposite_share_busway, no
with, no, yes, roundabout, opposite_share_busway, no
with, 1, yes, roundabout, opposite_share_busway, no
with, -1, yes, roundabout, opposite_share_busway, no
both, , no, roundabout, opposite_share_busway, no
both, yes, no, roundabout, opposite_share_busway, no
both, no, no, roundabout, opposite_share_busway, no
both, 1, no, roundabout, opposite_share_busway, no
both, -1, no, roundabout, opposite_share_busway, no
with, , 1, roundabout, opposite_share_busway, no
with, yes, 1, roundabout, opposite_share_busway, no
with, no, 1, roundabout, opposite_share_busway, no
with, 1, 1, roundabout, opposite_share_busway, no
with, -1, 1, roundabout, opposite_share_busway, no
against, , -1, roundabout, opposite_share_busway, no
against, yes, -1, roundabout, opposite_share_busway, no
against, no, -1, roundabout, opposite_share_busway, no
against, 1, -1, roundabout, opposite_share_busway, no
against, -1, -1, roundabout, opposite_share_busway, no
both, , , , opposite_track, no
both, yes, , , opposite_track, no
both, no, , , opposite_track, no
both, 1, , , opposite_track, no
both, -1, , , opposite_track, no
with, , yes, , opposite_track, no
with, yes, yes, , opposite_track, no
with, no, yes, , opposite_track, no
with, 1, yes, , opposite_track, no
with, -1, yes, , opposite_track, no
both, , no, , opposite_track, no
both, yes, no, , opposite_track, no
both, no, no, , opposite_track, no
both, 1, no, , opposite_track, no
both, -1, no, , opposite_track, no
with, , 1, , opposite_track, no
with, yes, 1, , opposite_track, no
with, no, 1, , opposite_track, no
with, 1, 1, , opposite_track, no
with, -1, 1, , opposite_track, no
against, , -1, , opposite_track, no
against, yes, -1, , opposite_track, no
against, no, -1, , opposite_track, no
against, 1, -1, , opposite_track, no
against, -1, -1, , opposite_track, no
with, , , roundabout, opposite_track, no
with, yes, , roundabout, opposite_track, no
with, no, , roundabout, opposite_track, no
with, 1, , roundabout, opposite_track, no
with, -1, , roundabout, opposite_track, no
with, , yes, roundabout, opposite_track, no
with, yes, yes, roundabout, opposite_track, no
with, no, yes, roundabout, opposite_track, no
with, 1, yes, roundabout, opposite_track, no
with, -1, yes, roundabout, opposite_track, no
both, , no, roundabout, opposite_track, no
both, yes, no, roundabout, opposite_track, no
both, no, no, roundabout, opposite_track, no
both, 1, no, roundabout, opposite_track, no
both, -1, no, roundabout, opposite_track, no
with, , 1, roundabout, opposite_track, no
with, yes, 1, roundabout, opposite_track, no
with, no, 1, roundabout, opposite_track, no
with, 1, 1, roundabout, opposite_track, no
with, -1, 1, roundabout, opposite_track, no
against, , -1, roundabout, opposite_track, no
against, yes, -1, roundabout, opposite_track, no
against, no, -1, roundabout, opposite_track, no
against, 1, -1, roundabout, opposite_track, no
against, -1, -1, roundabout, opposite_track, no
both, , , , , yes
both, yes, , , , yes
both, no, , , , yes
both, 1, , , , yes
both, -1, , , , yes
with, , yes, , , yes
with, yes, yes, , , yes
with, no, yes, , , yes
with, 1, yes, , , yes
with, -1, yes, , , yes
both, , no, , , yes
both, yes, no, , , yes
both, no, no, , , yes
both, 1, no, , , yes
both, -1, no, , , yes
with, , 1, , , yes
with, yes, 1, , , yes
with, no, 1, , , yes
with, 1, 1, , , yes
with, -1, 1, , , yes
against, , -1, , , yes
against, yes, -1, , , yes
against, no, -1, , , yes
against, 1, -1, , , yes
against, -1, -1, , , yes
with, , , roundabout, , yes
with, yes, , roundabout, , yes
with, no, , roundabout, , yes
with, 1, , roundabout, , yes
with, -1, , roundabout, , yes
with, , yes, roundabout, , yes
with, yes, yes, roundabout, , yes
with, no, yes, roundabout, , yes
with, 1, yes, roundabout, , yes
with, -1, yes, roundabout, , yes
both, , no, roundabout, , yes
both, yes, no, roundabout, , yes
both, no, no, roundabout, , yes
both, 1, no, roundabout, , yes
both, -1, no, roundabout, , yes
with, , 1, roundabout, , yes
with, yes, 1, roundabout, , yes
with, no, 1, roundabout, , yes
with, 1, 1, roundabout, , yes
with, -1, 1, roundabout, , yes
against, , -1, roundabout, , yes
against, yes, -1, roundabout, , yes
against, no, -1, roundabout, , yes
against, 1, -1, roundabout, , yes
against, -1, -1, roundabout, , yes
against, , , , right, yes
against, yes, , , right, yes
against, no, , , right, yes
against, 1, , , right, yes
against, -1, , , right, yes
with, , yes, , right, yes
with, yes, yes, , right, yes
with, no, yes, , right, yes
with, 1, yes, , right, yes
with, -1, yes, , right, yes
both, , no, , right, yes
both, yes, no, , right, yes
both, no, no, , right, yes
both, 1, no, , right, yes
both, -1, no, , right, yes
with, , 1, , right, yes
with, yes, 1, , right, yes
with, no, 1, , right, yes
with, 1, 1, , right, yes
with, -1, 1, , right, yes
against, , -1, , right, yes
against, yes, -1, , right, yes
against, no, -1, , right, yes
against, 1, -1, , right, yes
against, -1, -1, , right, yes
with, , , roundabout, right, yes
with, yes, , roundabout, right, yes
with, no, , roundabout, right, yes
with, 1, , roundabout, right, yes
with, -1, , roundabout, right, yes
with, , yes, roundabout, right, yes
with, yes, yes, roundabout, right, yes
with, no, yes, roundabout, right, yes
with, 1, yes, roundabout, right, yes
with, -1, yes, roundabout, right, yes
both, , no, roundabout, right, yes
both, yes, no, roundabout, right, yes
both, no, no, roundabout, right, yes
both, 1, no, roundabout, right, yes
